indic_na,unit,geo\time	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
B1GM,MIO_EUR,AT	220529.2 	224996.0 	234707.8 	245243.4 	259034.5 	274019.8 	282744.2 	276228.0 	285165.3 	299240.4 	307003.8 	313066.9 
B1GM,MIO_EUR,BE	268620.0 	276157.0 	291287.0 	303435.0 	318829.0 	335815.0 	346375.0 	340669.0 	355791.0 	369258.0 	375852.0 	382692.0 
B1GM,MIO_EUR,BG	17026.9 	18374.4 	20387.9 	23255.8 	26476.7 	30772.4 	35430.5 	34932.8 	36052.4 	38504.9 	39927.0 	39940.3 
B1GM,MIO_EUR,CH	304557.3 	296195.1 	301430.1 	309428.4 	322993.1 	329214.4 	357724.8 	367133.5 	414884.1 	474689.2 	491040.4 	489673.2 
B1GM,MIO_EUR,CY	11081.1 	11654.2 	12596.0 	13598.2 	14670.5 	15901.5 	17157.1 	16853.5 	17406.0 	17878.0 	17720.2 	16503.7 
B1GM,MIO_EUR,CZ	83350.5 	84409.6 	91849.5 	104628.8 	118290.8 	131908.6 	154269.7 	142197.0 	149932.0 	155486.0 	152925.6 	149491.1 
B1GM,MIO_EUR,DE	2132200.0 	2147500.0 	2195700.0 	2224400.0 	2313900.0 	2428500.0 	2473800.0 	2374200.0 	2495000.0 	2609900.0 	2666400.0 	2737600.0 
B1GM,MIO_EUR,DK	184743.6 	188500.3 	197069.9 	207366.9 	218747.4 	227533.9 	235133.0 	223575.8 	236334.1 	240487.1 	245252.0 	248974.8 
B1GM,MIO_EUR,EA	7256147.7 	7466322.9 	7771786.0 	8048123.5 	8455402.9 	8938314.2 	9162363.9 	8907494.3 	9153351.1 	9423758.6 	9483205.2 	9579227.7 
B1GM,MIO_EUR,EA17	7330227.7 	7546644.2 	7859959.2 	8145054.4 	8564223.2 	9030671.4 	9243012.4 	8921464.1 	9167722.2 	9423758.6 	9483205.2 	9579227.7 
B1GM,MIO_EUR,EA18	7340043.2 	7556586.8 	7871113.8 	8157982.2 	8580205.1 	9051697.9 	9265902.2 	8939985.3 	9185761.0 	9443969.9 	9505462.2 	9602599.9 
B1GM,MIO_EUR,EE	7779.8 	8724.0 	9692.2 	11189.1 	13396.2 	16071.3 	16239.5 	13973.4 	14530.4 	16197.5 	17460.1 	18613.4 
B1GM,MIO_EUR,EL	156614.6 	172431.1 	185265.6 	193049.7 	208621.8 	223160.1 	233197.7 	231081.2 	222151.5 	208531.7 	193347.0 	182054.2 
B1GM,MIO_EUR,ES	729258.0 	783082.0 	841294.0 	909298.0 	985547.0 	1053161.0 	1087788.0 	1046894.0 	1045620.0 	1046327.0 	1029002.0 	1022988.0 
B1GM,MIO_EUR,EU27	9955536.1 	10121205.2 	10625013.7 	11092672.9 	11724922.7 	12430268.5 	12501007.4 	11770968.3 	12292730.1 	12667015.8 	12916258.7 	13025472.7 
B1GM,MIO_EUR,EU28	9983702.3 	10151451.9 	10658018.6 	11128703.0 	11764657.3 	12473648.9 	12548545.7 	11815746.6 	12337153.6 	12711206.8 	12959735.7 	13068600.5 
B1GM,MIO_EUR,FI	143646.0 	145531.0 	152266.0 	157429.0 	165765.0 	179830.0 	185670.0 	172318.0 	178724.0 	188744.0 	192350.0 	193443.0 
B1GM,MIO_EUR,FR	1542927.4 	1587901.8 	1655571.8 	1718047.0 	1798115.3 	1886792.1 	1933195.0 	1885761.9 	1936719.7 	2001398.0 	2032296.8 	2059852.0 
B1GM,MIO_EUR,HR	28166.2 	30246.7 	33004.9 	36030.1 	39734.6 	43380.4 	47538.3 	44778.3 	44423.4 	44191.0 	43477.0 	43127.9 
B1GM,MIO_EUR,HU	70461.9 	73883.0 	82114.8 	88765.5 	89589.9 	99422.8 	105535.8 	91415.4 	96243.0 	98920.6 	96968.3 	97948.0 
B1GM,MIO_EUR,IE	130717.1 	140635.1 	150024.5 	162896.8 	177573.5 	189654.7 	180249.5 	162283.5 	158096.7 	162599.7 	163938.7 	164049.8 
B1GM,MIO_EUR,IS	9473.8 	9711.4 	10674.1 	13111.9 	13315.9 	14932.4 	10292.3 	8675.3 	9487.5 	10087.2 	10572.7 	11000.3 
B1GM,MIO_EUR,IT	1301873.0 	1341850.1 	1397728.3 	1436379.5 	1493031.3 	1554198.9 	1575143.9 	1519695.1 	1551885.6 	1579946.4 	1566911.6 	1560023.8 
B1GM,MIO_EUR,JP	4227909.5 	3808924.2 	3746841.0 	3682155.6 	3469983.6 	3181241.6 	3287696.3 	3614690.0 	4149900.2 	4247573.9 	4622737.8 	3687153.3 
B1GM,MIO_EUR,LI	2856.4 	2718.4 	2782.4 	2942.9 	3188.7 	3362.4 	3467.1 	3246.0 	3840.0 	4182.1 	4267.8 	: 
B1GM,MIO_EUR,LT	15133.0 	16576.1 	18244.8 	20969.1 	24104.2 	28738.8 	32414.3 	26654.4 	27709.7 	30958.5 	32939.8 	34631.2 
B1GM,MIO_EUR,LU	23981.6 	25822.1 	27444.5 	30269.5 	33914.1 	37496.8 	37371.5 	35575.2 	39302.6 	41729.7 	42917.8 	45478.2 
B1GM,MIO_EUR,LV	9815.6 	9942.5 	11154.6 	12927.8 	15981.9 	21026.5 	22889.8 	18521.3 	18038.9 	20211.3 	22257.0 	23372.1 
B1GM,MIO_EUR,ME	1360.4 	1510.1 	1669.8 	1815.0 	2149.0 	2680.5 	3085.6 	2981.0 	3103.9 	3234.1 	3148.9 	: 
B1GM,MIO_EUR,MK	4000.9 	4217.4 	4442.0 	4813.5 	5230.6 	5966.5 	6692.6 	6702.4 	7056.5 	7478.7 	7454.4 	: 
B1GM,MIO_EUR,MT	4653.7 	4639.9 	4669.9 	4930.9 	5206.7 	5575.4 	5963.5 	5956.0 	6458.5 	6691.9 	6913.2 	7262.6 
B1GM,MIO_EUR,NL	465214.0 	476945.0 	491184.0 	513407.0 	540216.0 	571773.0 	594481.0 	573235.0 	586789.0 	599047.0 	599338.0 	602658.0 
