indic_de,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
JAN,AD	67159 	72320 	76875 	78549 	81222 	83137 	84484 	84082 	85015 	78115 	: 	: 
JAN,AL	3102781 	3119548 	3134975 	3149143 	3152625 	3170050 	3184701 	: 	2831741 	: 	2898782 	2895947 e
JAN,AM	3210300 	3212200 	3215800 	3219234 	3222953 	3230086 	3237976 	3249482 	3262650 	3274285 	3026878 	3017079 
JAN,AT	8100273 	8142573 	8201359 	8254298 	8282984 	8307989 	8335003 	8351643 	8375164 	8408121 	8451860 	8507786 
JAN,AZ	8202500 	8265700 	8347300 	8436400 	8532700 	8629900 	8896900 	8997586 	9111078 	9235085 	9356483 	9477119 
JAN,BA	3830349 e	3837414 e	3842532 e	3842650 	3844017 	3843846 	3843998 	3844046 	3843183 	3839265 p	: 	3830911 e
JAN,BE	10355844 	10396421 	10445852 	10511382 	10584534 	10666866 	10753080 	10839905 	11000638 b	11094850 	11161642 	11203992 p
JAN,BG	7845841 	7801273 	7761049 	7718750 	7572673 b	7518002 	7467119 	7421766 	7369431 	7327224 	7284552 	7245677 
JAN,BY	9898590 	9849062 	9800073 	9750540 	9714461 	9689770 	9671912 	9480178 	9481193 	9465150 	: 	: 
JAN,CH	7313853 	7364148 	7415102 	7459128 	7508739 	7593494 	7701856 	7785806 	7870134 b	7954662 	8039060 	8136689 p
JAN,CY	713720 	722893 	733067 	744013 	757916 	776333 	796930 	819140 	839751 	862011 	865878 	858000 p
JAN,CZ	10192649 	10195347 	10198855 	10223577 	10254233 	10343422 	10425783 	10462088 	10486731 	10505445 	10516125 	10512419 
JAN,DE	82536680 	82531671 	82500849 	82437995 	82314906 	82217837 	82002356 	81802257 	81751602 	80327900 b	80523746 	80780000 e
JAN,DK	5383507 	5397640 	5411405 	5427459 	5447084 	5475791 	5511451 	5534738 	5560628 	5580516 	5602628 	5627235 
JAN,EA17	318926194 	320735945 	322640305 	324274626 	325853528 	327813647 	329219474 	330068171 	330974933 b	330300357 	331090429 p	332569210 ep
JAN,EA18	321225584 	323012465 	324890029 	326502500 	328062368 	330005457 	331382308 	332188675 	333049538 b	332345170 	333114254 p	334570678 ep
JAN,EE	1375190 	1366250 	1358850 	1350700 	1342920 	1338440 	1335740 	1333290 	1329660 	1325217 	1320174 	1315819 
JAN,EL	10998903 	11037745 	11073713 	11112113 	11143780 	11182224 	11190654 	11183516 	11123392 	11123034 	11062508 	10992589 e
JAN,ES	41827838 	42547451 	43296338 	44009971 	44784666 	45668939 	46239273 	46486619 	46667174 	46818219 	46727890 	46507760 p
JAN,EU27	486509662 	488403575 	490463738 	492320886 	494095017 b	496106353 	497876348 	499076458 	500671665 b	500306522 	501412825 p	503169907 ep
JAN,EU28	490815046 	492709300 	494774599 	496633373 	498408547 b	500418320 	502186144 	503379305 	504961522 b	504582506 	505674965 p	507416607 ep
JAN,FI	5206295 	5219732 	5236611 	5255580 	5276955 	5300484 	5326314 	5351427 	5375276 	5401267 	5426674 	5451270 
JAN,FR	61864088 	62292241 	62772870 	63229635 	63645065 	64007193 	64350226 	64658856 	64978721 	65287861 	65578819 p	65856609 p
